Sort	Isolate Sort	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Exemplar or additional isolate	Virus name(s)	Virus name abbreviation(s)	Virus isolate designation	Virus GENBANK accession	Virus REFSEQ accession	Genome coverage	Genome composition	Host source	virus tax id	virus name	virus lineage	refseq id	KEGG GENOME	KEGG DISEASE	DISEASE	host tax id	host name	host lineage	pmid	evidence	sample type	source organism
118	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Betaherpesvirinae	Roseolovirus		Roseolovirus humanbeta6a	E	human betaherpesvirus 6A; human herpesvirus 6A	HuBHV6A; HHV6A	U1102	X83413	NC_001664	Complete genome	dsDNA	vertebrates	32603.0	Human betaherpesvirus 6A	Viruses; Duplodnaviria; Heunggongvirae; Peploviricota; Herviviricetes; Herpesvirales; Orthoherpesviridae; Betaherpesvirinae; Roseolovirus; Roseolovirus humanbeta6a	NC_001664				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq, UniProt		
119	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Betaherpesvirinae	Roseolovirus		Roseolovirus humanbeta6b	E	human betaherpesvirus 6B; human herpesvirus 6B	HuBHV6B; HHV6B	Z29	AF157706	NC_000898	Complete genome	dsDNA	vertebrates	32604.0	Human betaherpesvirus 6B	Viruses; Duplodnaviria; Heunggongvirae; Peploviricota; Herviviricetes; Herpesvirales; Orthoherpesviridae; Betaherpesvirinae; Roseolovirus; Roseolovirus humanbeta6b	NC_000898	T40075	H00369	Exanthema subitum; Roseolovirus infection; Roseola; Pityriasis rosea	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq, UniProt		
120	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Betaherpesvirinae	Roseolovirus		Roseolovirus humanbeta7	E	human betaherpesvirus 7; human herpesvirus 7	HuBHV7; HHV7	RK	AF037218	NC_001716	Complete genome	dsDNA	vertebrates	10372.0	Human betaherpesvirus 7	Viruses; Duplodnaviria; Heunggongvirae; Peploviricota; Herviviricetes; Herpesvirales; Orthoherpesviridae; Betaherpesvirinae; Roseolovirus; Roseolovirus humanbeta7	NC_001716	T40076	H00369	Exanthema subitum; Roseolovirus infection; Roseola; Pityriasis rosea	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq, UniProt		
127	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Gammaherpesvirinae	Lymphocryptovirus		Lymphocryptovirus humangamma4	E	human gammaherpesvirus 4; Epstein-Barr virus	HuGHV4; EBV	B95-8	AJ507799	NC_007605	Complete genome	dsDNA	vertebrates	10376.0	human gammaherpesvirus 4	Viruses; Duplodnaviria; Heunggongvirae; Peploviricota; Herviviricetes; Herpesvirales; Orthoherpesviridae; Gammaherpesvirinae; Lymphocryptovirus; Lymphocryptovirus humangamma4	NC_007605	T40079	H00367	Infectious mononucleosis; Epstein-Barr virus (EBV) infection	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq, UniProt		
152	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Gammaherpesvirinae	Percavirus		Percavirus vespertilionidgamma1	E	vespertilionid gammaherpesvirus 1; bat gammaherpesvirus 8	VeGHV1	My-HV8/Myotis velifer incautus/USA/FCGHV/2011	KU220026	NC_029255	Coding-complete genome	dsDNA	vertebrates	1780507.0	Myotis gammaherpesvirus 8	Viruses; Duplodnaviria; Heunggongvirae; Peploviricota; Herviviricetes; Herpesvirales; Orthoherpesviridae; Gammaherpesvirinae; unclassified Gammaherpesvirinae	NC_029255				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	27303690	Literature		
158	1	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Gammaherpesvirinae	Rhadinovirus		Rhadinovirus humangamma8	E	human gammaherpesvirus 8; Kaposi's sarcoma-associated herpesvirus	HuGHV8; KSHV	GK18	AF148805	NC_009333	Complete genome	dsDNA	vertebrates	37296.0	Human gammaherpesvirus 8	Viruses; Duplodnaviria; Heunggongvirae; Peploviricota; Herviviricetes; Herpesvirales; Orthoherpesviridae; Gammaherpesvirinae; Rhadinovirus; Rhadinovirus humangamma8	NC_009333	T40081	H00041	Kaposi sarcoma	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq, UniProt		
4385	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Alphapolyomavirus		Alphapolyomavirus nonihominis	E	human polyomavirus 9	HPyV9	2540	HQ696595	NC_015150	Complete genome	dsDNA	vertebrates	943908.0	Human polyomavirus 9	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Sepolyvirales; Polyomaviridae; Alphapolyomavirus; Alphapolyomavirus nonihominis	NC_015150				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq		
4386	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Alphapolyomavirus		Alphapolyomavirus octihominis	E	Trichodysplasia spinulosa-associated polyomavirus	TSPyV	Skin	GU989205	NC_014361	Complete genome	dsDNA	vertebrates	862909.0	Trichodysplasia spinulosa-associated polyomavirus	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Sepolyvirales; Polyomaviridae; Alphapolyomavirus; Alphapolyomavirus octihominis	NC_014361				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq		
4397	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Alphapolyomavirus		Alphapolyomavirus quardecihominis	E	LI polyomavirus	LIPyV	2016	KY404016	NC_034253	Complete genome	dsDNA	vertebrates	1965344.0	LI polyomavirus	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Sepolyvirales; Polyomaviridae; Alphapolyomavirus; Alphapolyomavirus quardecihominis	NC_034253				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq		
4399	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Alphapolyomavirus		Alphapolyomavirus quintihominis	E	Merkel cell polyomavirus	MCPyV	R17b	HM011556	NC_010277	Complete genome	dsDNA	vertebrates	493803.0	Merkel cell polyomavirus	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Sepolyvirales; Polyomaviridae; Alphapolyomavirus; Alphapolyomavirus quintihominis	NC_010277	T40051	H01555	Merkel cell carcinoma	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq		
4414	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Alphapolyomavirus		Alphapolyomavirus terdecihominis	E	New Jersey polyomavirus	NJPyV	2013	KF954417	NC_024118	Complete genome	dsDNA	vertebrates	1497391.0	New Jersey polyomavirus-2013	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Sepolyvirales; Polyomaviridae; Alphapolyomavirus; Alphapolyomavirus terdecihominis	NC_024118				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq		
4431	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Betapolyomavirus		Betapolyomavirus hominis	E	BK polyomavirus	BK virus; BKV; BKPyV	Dunlop	V01108	NC_001538	Complete genome	dsDNA	vertebrates	1891762.0	Betapolyomavirus hominis	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Sepolyvirales; Polyomaviridae; Betapolyomavirus	NC_001538				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		UniProt		
4445	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Betapolyomavirus		Betapolyomavirus quartihominis	E	WU polyomavirus	WU virus; WUPyV	B0	EF444549	NC_009539	Complete genome	dsDNA	vertebrates	440266.0	WU Polyomavirus	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Sepolyvirales; Polyomaviridae; Betapolyomavirus; Betapolyomavirus quartihominis	NC_009539				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		UniProt		
4453	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Betapolyomavirus		Betapolyomavirus secuhominis	E	JC polyomavirus	JC virus; JCV; JCPyV	Mad1	J02226	NC_001699	Complete genome	dsDNA	vertebrates	10632.0	JC polyomavirus	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Sepolyvirales; Polyomaviridae; Betapolyomavirus; Betapolyomavirus secuhominis	NC_001699	T40072	H00370	Progressive multifocal leukoencephalopathy	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		UniProt		
4458	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Betapolyomavirus		Betapolyomavirus tertihominis	E	KI polyomavirus	KIPyV	Stockholm 60	EF127906	NC_009238	Complete genome	dsDNA	vertebrates	1891764.0	Betapolyomavirus tertihominis	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Sepolyvirales; Polyomaviridae; Betapolyomavirus	NC_009238				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	17287263	Literature		
4464	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Sepolyvirales		Polyomaviridae		Deltapolyomavirus		Deltapolyomavirus decihominis	E	MW polyomavirus	MWPyV	MA095	JQ898291	NC_018102	Complete genome	dsDNA	vertebrates	1203539.0	MW polyomavirus	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Sepolyvirales; Polyomaviridae; Deltapolyomavirus; Deltapolyomavirus decihominis	NC_018102				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq		
