query	qlen
3C__YP_002956103__Cosavirus_A__1330491	321
3C__YP_002956106__Cosavirus_A__1330491	203
3C__YP_002956114__Human_cosavirus_B__586420	321
3C__YP_002956117__Human_cosavirus_B__586420	203
3C__YP_002956125__Cosavirus_D__2003650	321
3C__YP_002956128__Cosavirus_D__2003650	203
3C__YP_003038643__Salivirus_NG-J1__651733	195
3C__YP_009268639__enterovirus_A114__2760809	183
3C_mature_peptide__NP_740558__Hepatovirus_A__12092	219
3D-POL__NP_740422__Enterovirus_D__138951	456
3D-pol__YP_009268640__enterovirus_A114__2760809	462
3D__NP_740444__Aichi_virus_1__1313215	468
3D__NP_740536__Enterovirus_A__138948	462
3D__NP_859028__Aichivirus_B__194965	469
3D__YP_002956087__Cosavirus_E__2003651	462
3D__YP_002956107__Cosavirus_A__1330491	463
3D__YP_002956118__Human_cosavirus_B__586420	462
3D__YP_002956129__Cosavirus_D__2003650	462
3D__YP_003038633__Salivirus_NG-J1__651733	474
3D_mature_peptide__NP_740559__Hepatovirus_A__12092	489
3L_protein__NP_073388__Yaba-like_disease_virus__132475	222
3_to_5_exonuclease,_N7-methyltransferase__YP_009944304__Betacoronavirus_England_1__1263720	524
3_to_5_exonuclease__NP_828871__SARS_coronavirus_Tor2__227984	527
3_to_5_exonuclease__YP_009555255__Human_coronavirus_OC43__31631	521
4.8_kDa_non-structural_protein__NP_150079__Bovine_coronavirus__11128	45
4.9_kDa_non-structural_protein__NP_150078__Bovine_coronavirus__11128	29
40R_protein__NP_073425__Yaba-like_disease_virus__132475	94
41L_protein__NP_073426__Yaba-like_disease_virus__132475	129
42L_protein__NP_073427__Yaba-like_disease_virus__132475	679
43L_protein__NP_073428__Yaba-like_disease_virus__132475	311
44L_protein__NP_073429__Yaba-like_disease_virus__132475	75
45L_protein__NP_073430__Yaba-like_disease_virus__132475	266
45kDa_large_subunit_of_intermediate_gene_transcription_factor_VITF-3__YP_233025__Vaccinia_virus__10245	382
46L_protein__NP_073431__Yaba-like_disease_virus__132475	79
47L_protein__NP_073432__Yaba-like_disease_virus__132475	386
48L__NP_938303__Yaba_monkey_tumor_virus__38804	429
48L_protein__NP_073433__Yaba-like_disease_virus__132475	429
49R_protein__NP_073434__Yaba-like_disease_virus__132475	677
4L_protein__NP_073389__Yaba-like_disease_virus__132475	238
4a_protein__NP_073552__Human_coronavirus_229E__11137	133
4b_protein__NP_073553__Human_coronavirus_229E__11137	88
50L_protein__NP_073435__Yaba-like_disease_virus__132475	590
51L_protein__NP_073436__Yaba-like_disease_virus__132475	111
52K__YP_009246349__Bat_mastadenovirus_WIV9__1788436	373
52K__YP_009246382__Bat_mastadenovirus_WIV10__1788432	372
52K__YP_009246421__Bat_mastadenovirus_WIV11__1788433	373
52R_protein__NP_073437__Yaba-like_disease_virus__132475	222
53L_protein__NP_073438__Yaba-like_disease_virus__132475	125
54R_protein__NP_073439__Yaba-like_disease_virus__132475	439
55R_protein__NP_073440__Yaba-like_disease_virus__132475	63
56R__NP_938311__Yaba_monkey_tumor_virus__38804	181
56R_protein__NP_073441__Yaba-like_disease_virus__132475	180
57L_protein__NP_073442__Yaba-like_disease_virus__132475	374
58R_protein__NP_073443__Yaba-like_disease_virus__132475	260
59R_protein__NP_073444__Yaba-like_disease_virus__132475	334
5L_protein__NP_073390__Yaba-like_disease_virus__132475	156
5L_protein__NP_938266__Yaba_monkey_tumor_virus__38804	156
60R__NP_938315__Yaba_monkey_tumor_virus__38804	247
60R_protein__NP_073445__Yaba-like_disease_virus__132475	247
61R_protein__NP_073446__Yaba-like_disease_virus__132475	91
62L__NP_938317__Yaba_monkey_tumor_virus__38804	315
62L_protein__NP_073447__Yaba-like_disease_virus__132475	316
63R_protein__NP_073448__Yaba-like_disease_virus__132475	249
64R__NP_938319__Yaba_monkey_tumor_virus__38804	132
64R_protein__NP_073449__Yaba-like_disease_virus__132475	128
65R__NP_938320__Yaba_monkey_tumor_virus__38804	159
65R_protein__NP_073450__Yaba-like_disease_virus__132475	159
66R__NP_938321__Yaba_monkey_tumor_virus__38804	181
66R_protein__NP_073451__Yaba-like_disease_virus__132475	183
67R_protein__NP_073452__Yaba-like_disease_virus__132475	178
68R_protein__NP_073453__Yaba-like_disease_virus__132475	363
69R__NP_938324__Yaba_monkey_tumor_virus__38804	185
69R_protein__NP_073454__Yaba-like_disease_virus__132475	185
6K_membrane_protein__NP_818994__Venezuelan_equine_encephalitis_virus__11036	56
6K_protein__NP_740647__Eastern_equine_encephalitis_virus__11021	57
6K_protein__NP_740685__Ross_River_virus__11029	54
6K_protein__NP_740710__Onyong-nyong_virus__2169701	61
6K_protein__NP_818941__Western_equine_encephalitis_virus__11039	55
6K_protein__NP_819001__Barmah_Forest_virus__11020	58
6K_protein__NP_819007__Semliki_Forest_virus__11033	60
6L_protein__NP_073391__Yaba-like_disease_virus__132475	149
6kDa_intracellular_viral_protein__YP_233073__Vaccinia_virus__10245	77
6k_protein__NP_740695__Mayaro_virus__59301	60
6k_structural_protein__NP_740676__Sindbis_virus__11034	55
7.5-kDa_protein__NP_694864__Human_erythrovirus_V9__72197	74
7.5_kDa_protein__YP_004928145__Human_parvovirus_B19__10798	74
70L__NP_938325__Yaba_monkey_tumor_virus__38804	137
70L_protein__NP_073455__Yaba-like_disease_virus__132475	137
70kDa_small_subunit_of_early_gene_transcription_factor_VETF__YP_232993__Vaccinia_virus__10245	637
71R__NP_938326__Yaba_monkey_tumor_virus__38804	1285
71R_protein__NP_073456__Yaba-like_disease_virus__132475	1285
72L__NP_938327__Yaba_monkey_tumor_virus__38804	169
72L_protein__NP_073457__Yaba-like_disease_virus__132475	171
73R_protein__NP_073458__Yaba-like_disease_virus__132475	190
74L__NP_938329__Yaba_monkey_tumor_virus__38804	320
74L_protein__NP_073459__Yaba-like_disease_virus__132475	323
75L__NP_938330__Yaba_monkey_tumor_virus__38804	797
75L_protein__NP_073460__Yaba-like_disease_virus__132475	798
76R_protein__NP_073461__Yaba-like_disease_virus__132475	180
77R_protein__NP_073462__Yaba-like_disease_virus__132475	315
78R__NP_938333__Yaba_monkey_tumor_virus__38804	150
78R_protein__NP_073463__Yaba-like_disease_virus__132475	148
79R__NP_938334__Yaba_monkey_tumor_virus__38804	840
79R_protein__NP_073464__Yaba-like_disease_virus__132475	840
7L_protein__NP_073392__Yaba-like_disease_virus__132475	351
80L_protein__NP_073465__Yaba-like_disease_virus__132475	153
81R__NP_938336__Yaba_monkey_tumor_virus__38804	245
81R_protein__NP_073466__Yaba-like_disease_virus__132475	245
82R__NP_938337__Yaba_monkey_tumor_virus__38804	219
82R_protein__NP_073467__Yaba-like_disease_virus__132475	218
82kDa_large_subunit_of_early_gene_transcription_factor_VETF__YP_233008__Vaccinia_virus__10245	710
83R__NP_938338__Yaba_monkey_tumor_virus__38804	786
83R_protein__NP_073468__Yaba-like_disease_virus__132475	786
84R__NP_938339__Yaba_monkey_tumor_virus__38804	635
84R_protein__NP_073469__Yaba-like_disease_virus__132475	635
85R__NP_938340__Yaba_monkey_tumor_virus__38804	160
85R_protein__NP_073470__Yaba-like_disease_virus__132475	160
86R__NP_938341__Yaba_monkey_tumor_virus__38804	221
86R_protein__NP_073471__Yaba-like_disease_virus__132475	212
87R__NP_938342__Yaba_monkey_tumor_virus__38804	238
87R_protein__NP_073472__Yaba-like_disease_virus__132475	255
88L__NP_938343__Yaba_monkey_tumor_virus__38804	631
88L_protein__NP_073473__Yaba-like_disease_virus__132475	631
89L__NP_938344__Yaba_monkey_tumor_virus__38804	287
89L_protein__NP_073474__Yaba-like_disease_virus__132475	287
8L_protein__NP_073393__Yaba-like_disease_virus__132475	213
90L__NP_938345__Yaba_monkey_tumor_virus__38804	553
90L_protein__NP_073475__Yaba-like_disease_virus__132475	552
91L_protein__NP_073476__Yaba-like_disease_virus__132475	150
92L_protein__NP_073477__Yaba-like_disease_virus__132475	224
93L__NP_938348__Yaba_monkey_tumor_virus__38804	75
93L_protein__NP_073478__Yaba-like_disease_virus__132475	75
94L__NP_938349__Yaba_monkey_tumor_virus__38804	657
94L_protein__NP_073479__Yaba-like_disease_virus__132475	657
95L_protein__NP_073480__Yaba-like_disease_virus__132475	152
96R__NP_938351__Yaba_monkey_tumor_virus__38804	165
96R_protein__NP_073481__Yaba-like_disease_virus__132475	168
97L__NP_938352__Yaba_monkey_tumor_virus__38804	371
97L_protein__NP_073482__Yaba-like_disease_virus__132475	371
98L__NP_938353__Yaba_monkey_tumor_virus__38804	713
98L_protein__NP_073483__Yaba-like_disease_virus__132475	711
99R__NP_938354__Yaba_monkey_tumor_virus__38804	291
99R_protein__NP_073484__Yaba-like_disease_virus__132475	290
9L_protein__NP_073394__Yaba-like_disease_virus__132475	226
A-type_inclusion_body_protein__NP_042174__Variola_virus__10255	65
A12_protein__YP_010377120__Monkeypox_virus__10244	190
A5L_protein-like__YP_010377112__Monkeypox_virus__10244	281
ATP-dependent_DNA_ligase__YP_009408550__NY_014_poxvirus__2025360	550
ATP-dependent_DNA_ligase__YP_233058__Vaccinia_virus__10245	552
ATPase,_nucleoside_triphosphate_phosphohydrolase-I,_NPH-I__YP_232998__Vaccinia_virus__10245	631
ATPase_A32__YP_010377141__Monkeypox_virus__10244	300
ATPase_DNA_packaging_protein__YP_009408533__NY_014_poxvirus__2025360	270
ATPase_NPH1__YP_009408496__NY_014_poxvirus__2025360	632
ATPase__YP_010085611__Akhmeta_virus__2200830	253
Alkaline_exonuclease__NP_050249__Human_betaherpesvirus_6B__32604	488
Alpha_amanatin_target_protein__YP_009408392__NY_014_poxvirus__2025360	210
Alpha_amanatin_target_protein__YP_009408411__NY_014_poxvirus__2025360	222
Ankyrin-like_protein_-1-__YP_010377020__Monkeypox_virus__10244	442
Ankyrin-like_protein_-3-__YP_010377022__Monkeypox_virus__10244	284
Ankyrin-like_protein_-46-__YP_010377163__Monkeypox_virus__10244	168
Ankyrin__YP_009408584__NY_014_poxvirus__2025360	615
Ankyrin_repeat_protein_-14-__YP_010377011__Monkeypox_virus__10244	630
Ankyrin_repeat_protein_-2-__YP_010377009__Monkeypox_virus__10244	660
Ankyrin_repeat_protein_-25-__YP_010377004__Monkeypox_virus__10244	588
Ankyrin_repeat_protein_-25-__YP_010377161__Monkeypox_virus__10244	561
Ankyrin_repeat_protein_-25-__YP_010377180__Monkeypox_virus__10244	588
Ankyrin_repeat_protein_-39-__YP_010377005__Monkeypox_virus__10244	437
Ankyrin_repeat_protein_-39-__YP_010377179__Monkeypox_virus__10244	437
Ankyrin_repeat_protein_-44-__YP_010377173__Monkeypox_virus__10244	787
Anti-apoptotic_Bcl-2-like_protein__YP_009408410__NY_014_poxvirus__2025360	119
Asp__YP_009028572__Human_immunodeficiency_virus_1__11676	189
Assembly_protein_G7__YP_010377074__Monkeypox_virus__10244	371
BALF1__YP_001129511__Human_herpesvirus_4_type_2__12509	182
BALF2__YP_001129510__Human_herpesvirus_4_type_2__12509	1128
BALF3__YP_001129509__Human_herpesvirus_4_type_2__12509	685
BALF4__YP_001129508__Human_herpesvirus_4_type_2__12509	857
BARF1__YP_001129512__Human_herpesvirus_4_type_2__12509	221
BBLF1__YP_001129480__Human_herpesvirus_4_type_2__12509	75
BBLF2_BBLF3__YP_001129478__Human_herpesvirus_4_type_2__12509	709
BBLF4__YP_001129475__Human_herpesvirus_4_type_2__12509	809
BBRF1__YP_001129476__Human_herpesvirus_4_type_2__12509	613
BBRF2__YP_001129477__Human_herpesvirus_4_type_2__12509	278
BBRF3__YP_001129479__Human_herpesvirus_4_type_2__12509	405
BCRF1__YP_001129439__Human_herpesvirus_4_type_2__12509	170
BDLF1__YP_001129492__Human_herpesvirus_4_type_2__12509	301
BDLF2__YP_001129491__Human_herpesvirus_4_type_2__12509	420
BDLF3.5__YP_001129489__Human_herpesvirus_4_type_2__12509	77
BDLF3__YP_001129490__Human_herpesvirus_4_type_2__12509	234
BDLF4__YP_001129488__Human_herpesvirus_4_type_2__12509	225
BFLF1__YP_001129444__Human_herpesvirus_4_type_2__12509	525
BFLF2__YP_001129443__Human_herpesvirus_4_type_2__12509	318
BFRF1A__YP_001129445__Human_herpesvirus_4_type_2__12509	135
BFRF1__YP_001129446__Human_herpesvirus_4_type_2__12509	336
BFRF2__YP_001129447__Human_herpesvirus_4_type_2__12509	591
BFRF3__YP_001129448__Human_herpesvirus_4_type_2__12509	176
BGLF1__YP_001129487__Human_herpesvirus_4_type_2__12509	506
BGLF2__YP_001129486__Human_herpesvirus_4_type_2__12509	336
BGLF3.5__YP_001129483__Human_herpesvirus_4_type_2__12509	153
BGLF3__YP_001129484__Human_herpesvirus_4_type_2__12509	332
BGLF4__YP_001129482__Human_herpesvirus_4_type_2__12509	429
BGLF5__YP_001129481__Human_herpesvirus_4_type_2__12509	470
BGRF1_BDRF1__YP_001129485__Human_herpesvirus_4_type_2__12509	690
BHRF1__YP_001129442__Human_herpesvirus_4_type_2__12509	191
BILF1__YP_001129506__Human_herpesvirus_4_type_2__12509	312
BILF2__YP_001129503__Human_herpesvirus_4_type_2__12509	248
BKRF2__YP_001129472__Human_herpesvirus_4_type_2__12509	137
BKRF3__YP_001129473__Human_herpesvirus_4_type_2__12509	255
BKRF4__YP_001129474__Human_herpesvirus_4_type_2__12509	217
BLLF3__YP_001129459__Human_herpesvirus_4_type_2__12509	278
BLRF1__YP_001129460__Human_herpesvirus_4_type_2__12509	102
BLRF2__YP_001129461__Human_herpesvirus_4_type_2__12509	162
BMRF1__YP_001129454__Human_herpesvirus_4_type_2__12509	404
BMRF2__YP_001129455__Human_herpesvirus_4_type_2__12509	357
BNLF2a__YP_001129514__Human_herpesvirus_4_type_2__12509	60
BNLF2b__YP_001129513__Human_herpesvirus_4_type_2__12509	98
BNRF1__YP_001129438__Human_herpesvirus_4_type_2__12509	1318
BORF1__YP_001129451__Human_herpesvirus_4_type_2__12509	364
BORF2__YP_001129452__Human_herpesvirus_4_type_2__12509	826
BRLF1__YP_001129468__Human_herpesvirus_4_type_2__12509	605
BRRF1__YP_001129469__Human_herpesvirus_4_type_2__12509	310
BRRF2__YP_001129470__Human_herpesvirus_4_type_2__12509	537
BSLF1__YP_001129457__Human_herpesvirus_4_type_2__12509	874
BSLF2_BMLF1__YP_001129456__Human_herpesvirus_4_type_2__12509	479
BSRF1__YP_001129458__Human_herpesvirus_4_type_2__12509	218
BTB_Kelch-domain_containing_protein__YP_009408403__NY_014_poxvirus__2025360	303
BTB_kelch_domain_protein__YP_009408555__NY_014_poxvirus__2025360	564
BTRF1__YP_001129495__Human_herpesvirus_4_type_2__12509	404
BVLF1__YP_001129500__Human_herpesvirus_4_type_2__12509	272
BVRF1__YP_001129499__Human_herpesvirus_4_type_2__12509	570
BVRF2__YP_001129501__Human_herpesvirus_4_type_2__12509	605
BXLF1__YP_001129497__Human_herpesvirus_4_type_2__12509	607
BXLF2__YP_001129496__Human_herpesvirus_4_type_2__12509	706
BXRF1__YP_001129498__Human_herpesvirus_4_type_2__12509	248
BZLF1__YP_001129467__Human_herpesvirus_4_type_2__12509	245
BZLF2__YP_001129466__Human_herpesvirus_4_type_2__12509	223
BaRF1__YP_001129453__Human_herpesvirus_4_type_2__12509	302
BcRF1__YP_001129494__Human_herpesvirus_4_type_2__12509	750
Bcl-2-like_protein__YP_010377013__Monkeypox_virus__10244	155
Bcl-2-like_protein__YP_010377017__Monkeypox_virus__10244	214
Bcl-2-like_protein__YP_010377018__Monkeypox_virus__10244	117
Bcl-2-like_protein__YP_010377019__Monkeypox_virus__10244	177
Bcl-2-like_protein__YP_010377027__Monkeypox_virus__10244	149
Bcl-2-like_protein__YP_010377154__Monkeypox_virus__10244	240
Bcl-2-like_protein__YP_010377170__Monkeypox_virus__10244	149
Bcl-2-like_protein__YP_010377177__Monkeypox_virus__10244	153
BdRF1__YP_001129502__Human_herpesvirus_4_type_2__12509	345
Brix_domain_protein__YP_010377184__Monkeypox_virus__10244	176
C-terminal_part_of_the_orf1a_product__NP_751904__Human_astrovirus__1868658	268
C-type_lectin-containing_protein__YP_010085457__Akhmeta_virus__2200830	159
C-type_lectin-like_IEV_EEV_glycoprotein__YP_009408535__NY_014_poxvirus__2025360	169
