structure_file	viro3d_filename	structure_species	target_gene	target_uniprot	experimental_doc	mimic_type
AF-Q9Z0M9-il18bpMmus.pdb	AF-Q9Z0M9-il18bpMmus	mouse	IL18BP	O95998		single_mimic
EF-CAD53396.1_127_relaxed.pdb	EF-CAD53396.1_127_relaxed	ebv	BCL2	P10415	https://doi.org/10.1016/j.jmb.2003.08.007	single_mimic
EF-CAD53468.1_127_relaxed.pdb	EF-CAD53468.1_127_relaxed	ebv	BCL2	P10415	https://doi.org/10.1128/jvi.73.6.5181-5185.1999	single_mimic
AF-A0A5F7ZZ15-F1-model_v4_mmul.pdb	AF-A0A5F7ZZ15-F1-model_v4_mmul	macaque	BCL2	P10415		single_mimic
AF-H2QEM8-F1-model_v4_ptro.pdb	AF-H2QEM8-F1-model_v4_ptro	chimp	BCL2	P10415		single_mimic
AF-P10415-F1-model_v4_hsap.pdb	AF-P10415-F1-model_v4_hsap	human	BCL2	P10415		single_mimic
AF-P10417-F1-model_v4._mmus.pdb	AF-P10417-F1-model_v4._mmus	mouse	BCL2	P10415		single_mimic
CF-AAL40480.1_12009_relaxed.pdb	CF-AAL40480.1_12009_relaxed	vaccinia	C1L	Q8WXC3		dual_mimic
CF-AAL40480.1_12009_relaxed.pdb	CF-AAL40480.1_12009_relaxed	vaccinia	C1L	P10415		dual_mimic
CF-AAL40480.1_12009_relaxed_pt1.pdb	CF-AAL40480.1_12009_relaxed	vaccinia	C1L	Q8WXC3		single_mimic
CF-AAL40480.1_12009_relaxed_pt2.pdb	CF-AAL40480.1_12009_relaxed	vaccinia	C1L	P10415		single_mimic
CF-AAM13483.1_12007_relaxed.pdb	CF-AAM13483.1_12007_relaxed	cowpox	C1L	Q8WXC3		dual_mimic
CF-AAM13483.1_12007_relaxed.pdb	CF-AAM13483.1_12007_relaxed	cowpox	C1L	P10415		dual_mimic
CF-AAM13483.1_12007_relaxed_pt1.pdb	CF-AAM13483.1_12007_relaxed	cowpox	C1L	Q8WXC3		single_mimic
CF-AAM13483.1_12007_relaxed_pt2.pdb	CF-AAM13483.1_12007_relaxed	cowpox	C1L	P10415		single_mimic
CF-AAO89306.1_12013_relaxed.pdb	CF-AAO89306.1_12013_relaxed	vaccinia	C1L	Q8WXC3	https://doi.org/10.1016/j.celrep.2023.112878	dual_mimic
CF-AAO89306.1_12013_relaxed.pdb	CF-AAO89306.1_12013_relaxed	vaccinia	C1L	P10415	https://doi.org/10.1016/j.celrep.2023.112878	dual_mimic
CF-AAO89306.1_12013_relaxed_pt1.pdb	CF-AAO89306.1_12013_relaxed	vaccinia	C1L	Q8WXC3	https://doi.org/10.1016/j.celrep.2023.112878	single_mimic
CF-AAO89306.1_12013_relaxed_pt2.pdb	CF-AAO89306.1_12013_relaxed	vaccinia	C1L	P10415	https://doi.org/10.1016/j.celrep.2023.112878	single_mimic
AF-A0A5F7ZZ15-F1-model_v4_mmul_bcl2.pdb	AF-A0A5F7ZZ15-F1-model_v4_mmul_bcl2	macaque	C1L	P10415		single_mimic
AF-F7GAH8-F1-model_v4_mmul_pydc.pdb	AF-F7GAH8-F1-model_v4_mmul_pydc	macaque	C1L	Q8WXC3		single_mimic
AF-H2QB01-F1-model_v4_ptro_pydc.pdb	AF-H2QB01-F1-model_v4_ptro_pydc	chimp	C1L	Q8WXC3		single_mimic
AF-H2QEM8-F1-model_v4_ptro_bcl2.pdb	AF-H2QEM8-F1-model_v4_ptro_bcl2	chimp	C1L	P10415		single_mimic
AF-P10415-F1-model_v4_hsap_bcl2.pdb	AF-P10415-F1-model_v4_hsap_bcl2	human	C1L	P10415		single_mimic
AF-P10417-F1-model_v4_mmus_bcl2.pdb	AF-P10417-F1-model_v4_mmus_bcl2	mouse	C1L	P10415		single_mimic
AF-Q54AA2-F1-model_v4_mmus_pycard.pdb	AF-Q54AA2-F1-model_v4_mmus_pycard	mouse	C1L	Q8WXC3		single_mimic
AF-Q8WXC3-F1-model_v4_hsap_pydc.pdb	AF-Q8WXC3-F1-model_v4_hsap_pydc	human	C1L	Q8WXC3		single_mimic
EF-AAR31716.1_100_relaxed.pdb	EF-AAR31716.1_100_relaxed	hcmv	CCR1	P32246	https://doi.org/10.3390/v4112448	single_mimic
AF-A0A6D2WDS4-F1-model_v4.pdb	AF-A0A6D2WDS4-F1-model_v4	chimp	CCR1	P32246		single_mimic
AF-P32246-F1-model_v4.pdb	AF-P32246-F1-model_v4	human	CCR1	P32246		single_mimic
AF-P51675-F1-model_v4.pdb	AF-P51675-F1-model_v4	mouse	CCR1	P32246		single_mimic
AF-P56482-F1-model_v4.pdb	AF-P56482-F1-model_v4	macaque	CCR1	P32246		single_mimic
EF-AAD46503.1_158_relaxed.pdb	EF-AAD46503.1_158_relaxed	kshv	CCR2	P41597	https://doi.org/10.1073/pnas.2403217121	single_mimic
AF-A0A6D2W375-F1-model_v4.pdb	AF-A0A6D2W375-F1-model_v4	chimp	CCR2	P41597		single_mimic
AF-O18793-F1-model_v4.pdb	AF-O18793-F1-model_v4	macaque	CCR2	P41597		single_mimic
AF-P41597-F1-model_v4.pdb	AF-P41597-F1-model_v4	human	CCR2	P41597		single_mimic
AF-P51683-F1-model_v4.pdb	AF-P51683-F1-model_v4	mouse	CCR2	P41597		single_mimic
CF-AAO89441.1_12013_relaxed.pdb	CF-AAO89441.1_12013_relaxed	vaccinia	CD47	Q08722	https://doi.org/10.1128/jvi.70.2.905-914.1996; https://doi.org/10.1006/viro.1995.9942	single_mimic
CF-AAR07485.1_12029_relaxed.pdb	CF-AAR07485.1_12029_relaxed	yaba	CD47	Q08722		single_mimic
CF-AST09350.1_11992_relaxed.pdb	CF-AST09350.1_11992_relaxed	murmansk	CD47	Q08722		single_mimic
AF-A0A2I3SRF9-F1-model_v4_ptro.pdb	AF-A0A2I3SRF9-F1-model_v4_ptro	chimp	CD47	Q08722		single_mimic
AF-F7F5Z8-F1-model_v4_mmul.pdb	AF-F7F5Z8-F1-model_v4_mmul	macaque	CD47	Q08722		single_mimic
AF-Q08722-F1-model_v4_hsap.pdb	AF-Q08722-F1-model_v4_hsap	human	CD47	Q08722		single_mimic
AF-Q61735-F1-model_v4_mmus.pdb	AF-Q61735-F1-model_v4_mmus	mouse	CD47	Q08722		single_mimic
EF-AAC55276.1_12002_relaxed.pdb	EF-AAC55276.1_12002_relaxed	molluscum_contagiosum	chemokine	NA	https://doi.org/10.1073/pnas.95.11.6403	general_mimic
CF-AAO42519.1.1.4_7222_relaxed.pdb	CF-AAO42519.1.1.4_7222_relaxed	pegivirus	helicase	NA		common_domain
CF-AAM13651.1_12007_relaxed.pdb	CF-AAM13651.1_12007_relaxed	cowpox	IFNaR	P17181		single_mimic
CF-AAO89479.1_12013_relaxed.pdb	CF-AAO89479.1_12013_relaxed	vaccinia	IFNaR	P17181	https://doi.org/10.1128/jvi.74.23.11230-11239.2000	single_mimic
CF-AXN74992.1_12005_relaxed.pdb	CF-AXN74992.1_12005_relaxed	akhmeta	IFNaR	P17181		single_mimic
AF-A0A6D2XMH4-F1-model_v4_ptro.pdb	AF-A0A6D2XMH4-F1-model_v4_ptro	chimp	IFNaR	P17181		single_mimic
AF-H9Z8H4-F1-model_v4_mmul.pdb	AF-H9Z8H4-F1-model_v4_mmul	macaque	IFNaR	P17181		single_mimic
AF-P17181-F1-model_v4_hsap.pdb	AF-P17181-F1-model_v4_hsap	human	IFNaR	P17181		single_mimic
AF-P33896-F1-model_v4_mmus.pdb	AF-P33896-F1-model_v4_mmus	mouse	IFNaR	P17181		single_mimic
CF-AAL40628.1_12009_relaxed.pdb	CF-AAL40628.1_12009_relaxed	monkeypox	IFNgR	P15260		single_mimic
CF-AAO89469.1_12013_relaxed.pdb	CF-AAO89469.1_12013_relaxed	vaccinia	IFNgR	P15260	https://doi.org/10.1128/jvi.69.8.4633-4639.1995	single_mimic
CF-AXN74982.1_12005_relaxed.pdb	CF-AXN74982.1_12005_relaxed	akhmeta	IFNgR	P15260		single_mimic
AF-F7HB25-F1-model_v4_mmul.pdb	AF-F7HB25-F1-model_v4_mmul	macaque	IFNgR	P15260		single_mimic
AF-H2R6X1-F1-model_v4_ptro.pdb	AF-H2R6X1-F1-model_v4_ptro	chimp	IFNgR	P15260		single_mimic
AF-P15260-F1-model_v4_hsap.pdb	AF-P15260-F1-model_v4_hsap	human	IFNgR	P15260		single_mimic
AF-P15261-F1-model_v4_mmus.pdb	AF-P15261-F1-model_v4_mmus	mouse	IFNgR	P15260		single_mimic
CF-CAD53438.2_127_relaxed.pdb	CF-CAD53438.2_127_relaxed	ebv	kinase	NA	https://doi.org/10.1128/jvi.01099-08	common_domain
CF-AAR07368.1_12029_relaxed.pdb	CF-AAR07368.1_12029_relaxed	yaba	LFG4	Q9HC24		single_mimic
CF-CAC21244.1_12027_relaxed.pdb	CF-CAC21244.1_12027_relaxed	yaba	LFG4	Q9HC24		single_mimic
EF-AAL73713.1_12006_relaxed.pdb	EF-AAL73713.1_12006_relaxed	camelpox	LFG4	Q9HC24	https://doi.org/10.1371/journal.ppat.0030017	single_mimic
AF-F6TQD4-F1-model_v4_mmul.pdb	AF-F6TQD4-F1-model_v4_mmul	macaque	LFG4	Q9HC24		single_mimic
AF-K6ZBP7-F1-model_v4_ptro.pdb	AF-K6ZBP7-F1-model_v4_ptro	chimp	LFG4	Q9HC24		single_mimic
AF-Q9DA39-F1-model_v4_mmus.pdb	AF-Q9DA39-F1-model_v4_mmus	mouse	LFG4	Q9HC24		single_mimic
AF-Q9HC24-F1-model_v4_hsap.pdb	AF-Q9HC24-F1-model_v4_hsap	human	LFG4	Q9HC24		single_mimic
CF-AAT98578.1.15_10182_relaxed.pdb	CF-AAT98578.1.15_10182_relaxed	hku1	NSP16	NA		common_domain
CF-QHD43415.1.1.36_10195_relaxed.pdb	CF-QHD43415.1.1.36_10195_relaxed	sarscov2	NSP16	NA		common_domain
CF-AAT98578.1.1.21_10182_relaxed.pdb	CF-AAT98578.1.1.21_10182_relaxed	hku1	NSP5	NA		common_domain
CF-QHD43415.1.1.21_10195_relaxed.pdb	CF-QHD43415.1.1.21_10195_relaxed	sarscov2	NSP5	NA		common_domain
