protid	viro3d_filename	pdb_origin	pdb_confidence	pdb_chains
AF-H2QEM8-F1-model_v4_ptro	AF-H2QEM8-F1-model_v4_ptro	AlphaFold	73.10139009	['A']
EF-CAA48953.1_12014_relaxed	EF-CAA48953.1_12014_relaxed	Other	95.00190766	['A']
AF-P04003-c4bpHsap	AF-P04003-c4bpHsap	AlphaFold	81.68877634	['A']
EF-AAM13481.1_12007_relaxed	EF-AAM13481.1_12007_relaxed	Other	95.42658963	['A']
CF-AAL40480.1_12009_relaxed_pt1	CF-AAL40480.1_12009_relaxed	Other	59.15253977	['A']
AF-A0A5F7ZZ15-F1-model_v4_mmul	AF-A0A5F7ZZ15-F1-model_v4_mmul	AlphaFold	72.56106166	['A']
AF-H2Q114-c4bpPtro	AF-H2Q114-c4bpPtro	AlphaFold	77.99779359	['A']
AF-O95998-il18bpHsap	AF-O95998-il18bpHsap	AlphaFold	79.41115981	['A']
CF-AAO89441.1_12013_relaxed	CF-AAO89441.1_12013_relaxed	Other	82.35009319	['A']
CF-AAO42519.1.1.4_7222_relaxed	CF-AAO42519.1.1.4_7222_relaxed	Other	89.77115935	['A']
AF-P10417-F1-model_v4_mmus_bcl2	AF-P10417-F1-model_v4_mmus_bcl2	AlphaFold	74.59212024	['A']
AF-F6TQD4-F1-model_v4_mmul	AF-F6TQD4-F1-model_v4_mmul	AlphaFold	91.4348792	['A']
CF-AAO89306.1_12013_relaxed_pt2	CF-AAO89306.1_12013_relaxed	Other	44.48335558	['A']
AF-P56482-F1-model_v4	AF-P56482-F1-model_v4	AlphaFold	83.96405907	['A']
AF-A0A6D2W375-F1-model_v4	AF-A0A6D2W375-F1-model_v4	AlphaFold	73.49317874	['A']
EF-AAL73713.1_12006_relaxed	EF-AAL73713.1_12006_relaxed	Other	95.62997636	['A']
AF-Q9DA39-F1-model_v4_mmus	AF-Q9DA39-F1-model_v4_mmus	AlphaFold	92.06531034	['A']
AF-P41597-F1-model_v4	AF-P41597-F1-model_v4	AlphaFold	78.28248477	['A']
CF-QHD43415.1.1.36_10195_relaxed	CF-QHD43415.1.1.36_10195_relaxed	Other	92.24423714	['A']
CF-AXN74982.1_12005_relaxed	CF-AXN74982.1_12005_relaxed	Other	87.72018457	['A']
CF-AAO89306.1_12013_relaxed_pt1	CF-AAO89306.1_12013_relaxed	Other	59.66104155	['A']
CF-AAT98578.1.15_10182_relaxed	CF-AAT98578.1.15_10182_relaxed	Other	90.71549584	['A']
AF-H2QEM8-F1-model_v4_ptro_bcl2	AF-H2QEM8-F1-model_v4_ptro_bcl2	AlphaFold	73.10139009	['A']
CF-AAM13483.1_12007_relaxed	CF-AAM13483.1_12007_relaxed	Other	70.14611998	['A']
AF-P05198-eif2sHsap	AF-P05198-eif2sHsap	AlphaFold	77.03954527	['A']
AF-P15261-F1-model_v4_mmus	AF-P15261-F1-model_v4_mmus	AlphaFold	69.10465776	['A']
CF-AAM13483.1_12007_relaxed_pt1	CF-AAM13483.1_12007_relaxed	Other	59.40602157	['A']
CF-CAD53438.2_127_relaxed	CF-CAD53438.2_127_relaxed	Other	87.9016378	['A']
EF-CAD53468.1_127_relaxed	EF-CAD53468.1_127_relaxed	Other	77.82073021	['A']
CF-AAL40480.1_12009_relaxed	CF-AAL40480.1_12009_relaxed	Other	72.99102692	['A']
AF-O18793-F1-model_v4	AF-O18793-F1-model_v4	AlphaFold	82.64375388	['A']
AF-P51496-il10Mmul	AF-P51496-il10Mmul	AlphaFold	88.82523312	['A']
AF-P18893-il10Mmus	AF-P18893-il10Mmus	AlphaFold	85.20323366	['A']
CF-AAR07485.1_12029_relaxed	CF-AAR07485.1_12029_relaxed	Other	74.81268484	['A']
CF-AAR07371.1_12029_relaxed_yaba	CF-AAR07371.1_12029_relaxed	Other	90.42233803	['A']
CF-AAM13483.1_12007_relaxed_pt2	CF-AAM13483.1_12007_relaxed	Other	79.10449528	['A']
AF-Q08722-F1-model_v4_hsap	AF-Q08722-F1-model_v4_hsap	AlphaFold	86.57459612	['A']
CF-AAC55181.1_12002_relaxed_mcon	CF-AAC55181.1_12002_relaxed	Other	75.20493481	['A']
EF-AAR31710.1_100_relaxed	EF-AAR31710.1_100_relaxed	Other	88.53953035806953	['A']
