Virus Name	Record ID	ESMFold pLDDT	ColabFold pLDDT	Chosen Method	structure_file	protlen	Genome_composition	Kingdom	Phylum	Class	Order	Family	Genus	Species	Virus_names
human_coronavirus_HKU1	AAT98578.1.1.18_10182	80.6	92.7	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.18_10182_relaxed.pdb	22	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.17_10182	88.8	94.7	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.17_10182_relaxed.pdb	22	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.16_10182	77.9	84.8	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.16_10182_relaxed.pdb	23	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.19_10182	79.7	84.6	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.19_10182_relaxed.pdb	23	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.14_10182	75.3	89.9	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.14_10182_relaxed.pdb	23	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.29_10182	66.0	86.1	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.29_10182_relaxed.pdb	48	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.33_10182	45.3	93.8	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.33_10182_relaxed.pdb	61	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.8_10182	71.5	96.5	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.8_10182_relaxed.pdb	75	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.30_10182	57.9	95.5	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.30_10182_relaxed.pdb	79	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98583.1_10182	56.9	77.0	ColabFold	human_coronavirus_HKU1_CF-AAT98583.1_10182_relaxed.pdb	82	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.20_10182	44.1	91.5	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.20_10182_relaxed.pdb	88	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.23_10182	65.1	71.7	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.23_10182_relaxed.pdb	89	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.7_10182	65.1	71.7	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.7_10182_relaxed.pdb	89	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.3_10182	44.8	95.1	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.3_10182_relaxed.pdb	90	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.28_10182	69.0	87.1	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.28_10182_relaxed.pdb	95	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98582.1_10182	52.0	84.8	ColabFold	human_coronavirus_HKU1_CF-AAT98582.1_10182_relaxed.pdb	109	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.25_10182	28.2	88.1	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.25_10182_relaxed.pdb	110	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.9_10182	28.2	88.1	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.9_10182_relaxed.pdb	110	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.10_10182	30.2	63.5	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.10_10182_relaxed.pdb	119	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.34_10182	29.1	93.4	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.34_10182_relaxed.pdb	122	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.11_10182	30.8	68.9	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.11_10182_relaxed.pdb	125	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.7_10182	86.7	97.6	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.7_10182_relaxed.pdb	125	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.26_10182	30.1	93.8	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.26_10182_relaxed.pdb	130	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.10_10182	32.3	90.9	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.10_10182_relaxed.pdb	137	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.35_10182	67.9	94.2	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.35_10182_relaxed.pdb	151	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.5_10182	73.8	87.1	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.5_10182_relaxed.pdb	160	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.24_10182	46.1	86.7	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.24_10182_relaxed.pdb	194	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.8_10182	46.7	82.7	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.8_10182_relaxed.pdb	197	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98586.1_10182	29.4	50.5	ColabFold	human_coronavirus_HKU1_CF-AAT98586.1_10182_relaxed.pdb	205	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1_10182	27.1	58.1	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1_10182_relaxed.pdb	222	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98584.1_10182	51.3	78.3	ColabFold	human_coronavirus_HKU1_CF-AAT98584.1_10182_relaxed.pdb	223	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.6_10182	58.8	83.2	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.6_10182_relaxed.pdb	249	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.4_10182	38.6	64.8	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.4_10182_relaxed.pdb	261	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.22_10182	39.1	74.1	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.22_10182_relaxed.pdb	287	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.6_10182	39.1	74.1	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.6_10182_relaxed.pdb	287	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.21_10182	63.1	92.4	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.21_10182_relaxed.pdb	294	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.36_10182	55.1	91.4	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.36_10182_relaxed.pdb	294	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.1.9_10182	64.4	92.8	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.9_10182_relaxed.pdb	298	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
human_coronavirus_HKU1	AAT98578.1.15_10182	53.6	90.4	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.15_10182_relaxed.pdb	299	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
