RefSeq_ID	GenBank_ID	Match_Type
YP_006393288	AEM24600.1	GenBank Name Curated (Extracted Product)
YP_009553516	No Match Found	No Match
YP_006393295	No Match Found	No Match
YP_004169291	ADQ85978.1	Product
YP_009553529	No Match Found	No Match
YP_009134743	No Match Found	No Match
YP_009507291	No Match Found	No Match
YP_009507297	AHC00344.1	Product
YP_006393281	AEM24593.1	GenBank Name Curated (Extracted Product)
YP_009158852	AKP16340.1	Product
YP_006908972	AFV27090.1	Product
YP_008083731	AFL02846.1	Product
YP_004169277	No Match Found	No Match
YP_009553522	No Match Found	No Match
YP_009553509	No Match Found	No Match
YP_009175014	AFV27110.1	Product
YP_004169270	No Match Found	No Match
YP_009163891	AHA37348.1	Product
YP_009163891	AFV27090.1	Product
YP_009163891	AFV27117.1	Product
YP_009163891	AHA37341.1	Product
YP_009163891	ADQ85964.1	Product
YP_009163891	AFV27103.1	Product
YP_009163891	AFV27134.1	Product
YP_009163891	ANG08957.1	Product
YP_009163891	ADE45482.1	Product
YP_009163891	AKP16334.1	Product
NP_040305	No Match Found	No Match
YP_009552555	No Match Found	No Match
YP_009507304	AGC93428.1	Product
YP_009553032	No Match Found	No Match
YP_006393302	AEM24628.1	GenBank Name Curated (Extracted Product)
YP_004169263	No Match Found	No Match
YP_008828145	AHA37348.1	Product
YP_009725308	No Match Found	No Match
YP_009555254	No Match Found	No Match
YP_459942	No Match Found	No Match
NP_828870	No Match Found	No Match
YP_009047224	No Match Found	No Match
NP_742139	No Match Found	No Match
NP_835353	No Match Found	No Match
YP_009944303	No Match Found	No Match
NP_828870	No Match Found	No Match
YP_009246399	No Match Found	No Match
YP_009246438	No Match Found	No Match
YP_009246366	No Match Found	No Match
YP_002213834	No Match Found	No Match
NP_040874	No Match Found	No Match
YP_002640222	No Match Found	No Match
YP_001974433	No Match Found	No Match
NP_597754	No Match Found	No Match
YP_002213845	No Match Found	No Match
YP_005271199	ADD17119.1	GenBank Name Curated (Extracted Product)
YP_081573	AAR31677.1	GenBank Name Curated (Extracted Product)
YP_004936098	AEV80486.1	GenBank Name Curated (Extracted Product)
NP_043978	No Match Found	No Match
NP_957792	AAR98240.1	GenBank Name Curated (Extracted Product)
YP_002302222	ABG75794.1	GenBank Name Curated (Extracted Product)
YP_392513	CAA54475.1	GenBank Name Curated (Extracted Product)
YP_008126844	No Match Found	No Match
YP_004936123	AEV80511.1	GenBank Name Curated (Extracted Product)
YP_002608319	No Match Found	No Match
YP_081602	AAR31706.1	GenBank Name Curated (Extracted Product)
YP_004936127	AEV80515.1	GenBank Name Curated (Extracted Product)
YP_002608317	No Match Found	No Match
YP_004936124	AEV80512.1	GenBank Name Curated (Extracted Product)
YP_081599	AAR31703.1	GenBank Name Curated (Extracted Product)
YP_004936125	AEV80513.1	GenBank Name Curated (Extracted Product)
YP_002608318	No Match Found	No Match
NP_783804	No Match Found	No Match
YP_081600	AAR31704.1	GenBank Name Curated (Extracted Product)
YP_081601	AAR31705.1	GenBank Name Curated (Extracted Product)
YP_004936129	AEV80517.1	GenBank Name Curated (Extracted Product)
YP_004936122	AEV80510.1	GenBank Name Curated (Extracted Product)
NP_783805	No Match Found	No Match
YP_081605	AAR31709.1	GenBank Name Curated (Extracted Product)
YP_081598	AAR31702.1	GenBank Name Curated (Extracted Product)
YP_004936130	AEV80518.1	GenBank Name Curated (Extracted Product)
YP_002608316	No Match Found	No Match
YP_081597	AAR31701.1	GenBank Name Curated (Extracted Product)
YP_004936121	AEV80509.1	GenBank Name Curated (Extracted Product)
YP_002608315	No Match Found	No Match
YP_002608320	No Match Found	No Match
YP_004936128	AEV80516.1	GenBank Name Curated (Extracted Product)
YP_081603	AAR31707.1	GenBank Name Curated (Extracted Product)
YP_002608321	No Match Found	No Match
YP_081604	AAR31708.1	GenBank Name Curated (Extracted Product)
YP_002608322	No Match Found	No Match
YP_081606	AAR31710.1	GenBank Name Curated (Extracted Product)
YP_004936131	AEV80519.1	GenBank Name Curated (Extracted Product)
YP_004936126	AEV80514.1	GenBank Name Curated (Extracted Product)
YP_073813	No Match Found	No Match
NP_042966	CAA58365.1	GenBank Name Curated (Extracted Product)
NP_050252	No Match Found	No Match
NP_040173	No Match Found	No Match
YP_009137160	AEV91347.2	GenBank Name Curated (Extracted Product)
YP_443855	No Match Found	No Match
NP_851868	No Match Found	No Match
YP_009137083	AEQ77039.1	GenBank Name Curated (Extracted Product)
YP_009408476	No Match Found	No Match
NP_044028	No Match Found	No Match
NP_042125	No Match Found	No Match
NP_073454	CAC21307.1	GenBank Name Curated (Extracted Product)
YP_232978	AAO89375.1	GenBank Name Curated (Extracted Product)
YP_010085552	AXN74889.1	GenBank Name Curated (Extracted Product)
NP_619892	AAM13550.1	GenBank Name Curated (Extracted Product)
YP_010377085	No Match Found	No Match
NP_957831	AAR98279.1	GenBank Name Curated (Extracted Product)
NP_938324	AAR07425.1	Product
NP_751927	No Match Found	No Match
YP_001491556	No Match Found	No Match
YP_009272688	No Match Found	No Match
YP_009272643	No Match Found	No Match
YP_009272655	No Match Found	No Match
NP_056920	No Match Found	No Match
YP_009507711	AFX73383.1	Product
YP_009507722	AFX73394.1	Product
NP_073466	CAC21319.1	GenBank Name Curated (Extracted Product)
NP_938336	AAR07437.1	Product
YP_232990	AAO89387.1	GenBank Name Curated (Extracted Product)
YP_010377097	No Match Found	No Match
NP_044043	No Match Found	No Match
YP_009408488	No Match Found	No Match
NP_042137	No Match Found	No Match
NP_619904	AAM13562.1	GenBank Name Curated (Extracted Product)
YP_010085565	AXN74902.1	GenBank Name Curated (Extracted Product)
NP_073401	CAC21254.1	GenBank Name Curated (Extracted Product)
NP_938273	No Match Found	No Match
YP_009408418	No Match Found	No Match
NP_042943	CAA58384.1	Product
YP_081525	AAR31629.1	GenBank Name Curated (Extracted Product)
YP_401703	No Match Found	No Match
YP_002608269	No Match Found	No Match
YP_443871	No Match Found	No Match
NP_050231	No Match Found	No Match
NP_851884	No Match Found	No Match
YP_001129499	No Match Found	No Match
YP_001129372	ABD28870.1	Product
YP_009137099	AEQ77055.1	GenBank Name Curated (Extracted Product)
NP_040157	No Match Found	No Match
YP_004936043	AEV80431.1	GenBank Name Curated (Extracted Product)
YP_009137176	AEV91363.1	GenBank Name Curated (Extracted Product)
YP_073790	No Match Found	No Match
NP_851904	No Match Found	No Match
YP_009137196	AEV91383.1	GenBank Name Curated (Extracted Product)
YP_009137119	AEQ77075.1	GenBank Name Curated (Extracted Product)
YP_443891	No Match Found	No Match
NP_040137	No Match Found	No Match
YP_009246439	No Match Found	No Match
YP_009246400	No Match Found	No Match
YP_009246367	No Match Found	No Match
NP_040533	No Match Found	No Match
YP_002213796	No Match Found	No Match
YP_002213828	No Match Found	No Match
YP_001974434	No Match Found	No Match
YP_004936087	AEV80475.1	GenBank Name Curated (Extracted Product)
YP_081568	AAR31672.1	GenBank Name Curated (Extracted Product)
NP_040192	No Match Found	No Match
NP_040185	No Match Found	No Match
NP_040134	No Match Found	No Match
YP_009137122	No Match Found	No Match
YP_443894	No Match Found	No Match
NP_851907	No Match Found	No Match
YP_009137199	No Match Found	No Match
YP_010085525	No Match Found	No Match
YP_009408450	No Match Found	No Match
NP_042099	No Match Found	No Match
NP_073428	CAC21281.1	GenBank Name Curated (Extracted Product)
NP_957807	AAR98255.1	GenBank Name Curated (Extracted Product)
NP_043995	No Match Found	No Match
YP_010377059	No Match Found	No Match
YP_232952	AAO89349.1	GenBank Name Curated (Extracted Product)
NP_619867	AAM13525.1	GenBank Name Curated (Extracted Product)
NP_938298	No Match Found	No Match
YP_401692	No Match Found	No Match
YP_001129487	No Match Found	No Match
YP_001129385	ABD28883.1	Product
YP_004936059	AEV80447.1	GenBank Name Curated (Extracted Product)
YP_081540	AAR31644.1	GenBank Name Curated (Extracted Product)
YP_002608284	No Match Found	No Match
NP_050244	No Match Found	No Match
YP_073805	No Match Found	No Match
NP_042957	CAA58356.1	Product
YP_009137168	AEV91355.1	GenBank Name Curated (Extracted Product)
YP_443863	No Match Found	No Match
NP_040166	No Match Found	No Match
NP_851876	No Match Found	No Match
YP_009137091	AEQ77047.1	GenBank Name Curated (Extracted Product)
NP_044008	No Match Found	No Match
YP_009408459	No Match Found	No Match
YP_232961	No Match Found	No Match
YP_010377068	No Match Found	No Match
NP_042108	No Match Found	No Match
NP_073436	CAC21289.1	GenBank Name Curated (Extracted Product)
NP_957815	AAR98263.1	GenBank Name Curated (Extracted Product)
NP_938306	No Match Found	No Match
NP_619876	AAM13534.1	GenBank Name Curated (Extracted Product)
YP_010085534	AXN74871.1	GenBank Name Curated (Extracted Product)
NP_073526	CAC21379.1	GenBank Name Curated (Extracted Product)
NP_938392	No Match Found	No Match
NP_042066	No Match Found	No Match
YP_232915	AAO89312.1	GenBank Name Curated (Extracted Product)
NP_619988	AAM13646.1	GenBank Name Curated (Extracted Product)
YP_010085658	AXN74995.1	Product
YP_233087	AAO89484.1	GenBank Name Curated (Extracted Product)
YP_010377023	No Match Found	No Match
NP_042225	No Match Found	No Match
NP_073534	CAC21387.1	GenBank Name Curated (Extracted Product)
YP_010377174	No Match Found	No Match
YP_010085486	AXN74823.1	Product
NP_042237	No Match Found	No Match
YP_010085650	AXN74987.1	Product
YP_009408579	No Match Found	No Match
YP_233077	No Match Found	No Match
YP_009408566	No Match Found	No Match
NP_938400	AAR07501.1	Product
NP_073395	CAC21248.1	GenBank Name Curated (Extracted Product)
YP_010377169	No Match Found	No Match
NP_619831	AAM13489.1	GenBank Name Curated (Extracted Product)
NP_619997	AAM13655.1	GenBank Name Curated (Extracted Product)
NP_040138	No Match Found	No Match
YP_001129455	No Match Found	No Match
YP_401658	No Match Found	No Match
YP_001129415	ABD28913.1	Product
NP_938265	No Match Found	No Match
NP_073388	CAC21241.1	GenBank Name Curated (Extracted Product)
NP_073389	CAC21242.1	GenBank Name Curated (Extracted Product)
YP_232909	No Match Found	No Match
YP_010377017	No Match Found	No Match
YP_010085480	No Match Found	No Match
NP_619825	AAM13483.1	GenBank Name Curated (Extracted Product)
NP_042059	No Match Found	No Match
YP_009408409	No Match Found	No Match
YP_009137167	AEV91354.1	GenBank Name Curated (Extracted Product)
NP_040167	No Match Found	No Match
YP_009137090	AEQ77046.1	GenBank Name Curated (Extracted Product)
YP_443862	No Match Found	No Match
NP_851875	No Match Found	No Match
YP_001129386	ABD28884.1	Product
YP_001129486	No Match Found	No Match
YP_401691	No Match Found	No Match
NP_042958	CAA58357.1	Product
YP_004936060	AEV80448.1	GenBank Name Curated (Extracted Product)
YP_002608285	No Match Found	No Match
YP_073806	No Match Found	No Match
NP_050245	No Match Found	No Match
YP_081541	AAR31645.1	GenBank Name Curated (Extracted Product)
YP_073784	No Match Found	No Match
NP_042937	CAA58378.2	Product
NP_050225	No Match Found	No Match
YP_004936036	AEV80424.1	GenBank Name Curated (Extracted Product)
NP_042206	No Match Found	No Match
NP_619970	AAM13628.1	GenBank Name Curated (Extracted Product)
YP_009408550	No Match Found	No Match
YP_233058	No Match Found	No Match
YP_010377156	No Match Found	No Match
YP_010085632	AXN74969.1	GenBank Name Curated (Extracted Product)
YP_081575	AAR31679.1	GenBank Name Curated (Extracted Product)
NP_783773	No Match Found	No Match
YP_004935991	AEV80380.1	GenBank Name Curated (Extracted Product)
YP_081473	AAR31579.1	GenBank Name Curated (Extracted Product)
YP_004936099	AEV80487.1	GenBank Name Curated (Extracted Product)
YP_009408534	No Match Found	No Match
NP_042184	No Match Found	No Match
YP_010085612	AXN74949.1	GenBank Name Curated (Extracted Product)
NP_073507	CAC21360.1	GenBank Name Curated (Extracted Product)
YP_010377142	No Match Found	No Match
NP_938378	No Match Found	No Match
YP_233038	AAO89435.1	GenBank Name Curated (Extracted Product)
NP_619952	AAM13610.1	GenBank Name Curated (Extracted Product)
NP_044093	No Match Found	No Match
NP_957886	AAR98334.1	GenBank Name Curated (Extracted Product)
YP_009724391	QHD43417.1	GenBank Name Curated (Extracted Product)
YP_009825052	No Match Found	No Match
NP_828852	No Match Found	No Match
NP_828855	No Match Found	No Match
YP_173241	AAT98584.1	GenBank Name Curated (Extracted Product)
YP_007188585	No Match Found	No Match
NP_150082	No Match Found	No Match
YP_003770	AAS58180.1	GenBank Name Curated (Extracted Product)
YP_009825055	No Match Found	No Match
YP_009555244	AAT84357.1	GenBank Name Curated (Extracted Product)
NP_073555	AFR79260.1	GenBank Name Curated (Extracted Product)
NP_073555	AAG48596.1	GenBank Name Curated (Extracted Product)
YP_009047210	No Match Found	No Match
YP_009724393	QHD43419.1	GenBank Name Curated (Extracted Product)
YP_003768	AAS58178.1	GenBank Name Curated (Extracted Product)
NP_056921	No Match Found	No Match
YP_009512968	AFY09791.1	GenBank Name Curated (Extracted Product)
YP_009094057	No Match Found	No Match
YP_010087171	AZK31326.1	GenBank Name Curated (Extracted Product)
NP_054710	No Match Found	No Match
YP_009513216	No Match Found	No Match
ACA49107	No Match Found	No Match
YP_009094031	AHH02038.1	GenBank Name Curated (Extracted Product)
YP_009512953	No Match Found	No Match
NP_604439	No Match Found	No Match
YP_138514	AAC95514.1	GenBank Name Curated (Extracted Product)
NP_056860	No Match Found	No Match
YP_009055222	No Match Found	No Match
YP_001531153	No Match Found	No Match
YP_003815432	No Match Found	No Match
YP_003815423	No Match Found	No Match
YP_138520	No Match Found	No Match
NP_066243	No Match Found	No Match
YP_010085583	AXN74920.1	GenBank Name Curated (Extracted Product)
NP_073482	CAC21335.1	GenBank Name Curated (Extracted Product)
NP_957859	AAR98307.1	GenBank Name Curated (Extracted Product)
YP_009408505	No Match Found	No Match
NP_044060	No Match Found	No Match
NP_042154	No Match Found	No Match
YP_233007	No Match Found	No Match
NP_619921	AAM13579.1	GenBank Name Curated (Extracted Product)
YP_010377114	No Match Found	No Match
NP_938352	AAR07453.1	Product
YP_001129399	ABD28897.1	Product
YP_001129472	No Match Found	No Match
YP_401678	No Match Found	No Match
NP_042077	No Match Found	No Match
YP_010085544	AXN74881.1	GenBank Name Curated (Extracted Product)
NP_043967	No Match Found	No Match
YP_009408427	No Match Found	No Match
YP_009408468	No Match Found	No Match
NP_042117	No Match Found	No Match
NP_957908	AAR98356.1	GenBank Name Curated (Extracted Product)
NP_044020	No Match Found	No Match
YP_232930	AAO89327.1	GenBank Name Curated (Extracted Product)
YP_010377036	No Match Found	No Match
NP_073409	CAC21262.1	GenBank Name Curated (Extracted Product)
YP_010377077	No Match Found	No Match
NP_957824	AAR98272.1	GenBank Name Curated (Extracted Product)
NP_619844	AAM13502.1	GenBank Name Curated (Extracted Product)
NP_938315	AAR07416.1	Product
YP_010085500	No Match Found	No Match
NP_938280	No Match Found	No Match
YP_232970	AAO89367.1	GenBank Name Curated (Extracted Product)
NP_619885	AAM13543.1	GenBank Name Curated (Extracted Product)
NP_073445	CAC21298.1	GenBank Name Curated (Extracted Product)
NP_619829	AAM13487.1	GenBank Name Curated (Extracted Product)
NP_073394	CAC21247.1	GenBank Name Curated (Extracted Product)
YP_010085484	AXN74821.1	GenBank Name Curated (Extracted Product)
YP_232913	No Match Found	No Match
YP_010377021	No Match Found	No Match
YP_009408573	No Match Found	No Match
NP_042063	No Match Found	No Match
YP_009408399	No Match Found	No Match
YP_010377182	No Match Found	No Match
NP_619792	AAA60951.1	GenBank Name Curated (Extracted Product)
YP_010377002	No Match Found	No Match
YP_010085449	AXN74786.1	GenBank Name Curated (Extracted Product)
YP_010085449	AXN75005.1	GenBank Name Curated (Extracted Product)
NP_042241	No Match Found	No Match
YP_010085668	AXN74786.1	GenBank Name Curated (Extracted Product)
YP_010085668	AXN75005.1	GenBank Name Curated (Extracted Product)
YP_232883	AAO89497.1	GenBank Name Curated (Extracted Product)
YP_232883	AAO89280.1	GenBank Name Curated (Extracted Product)
YP_233100	AAO89497.1	GenBank Name Curated (Extracted Product)
YP_233100	AAO89280.1	GenBank Name Curated (Extracted Product)
NP_620006	AAM13664.1	GenBank Name Curated (Extracted Product)
YP_010377164	No Match Found	No Match
YP_010085644	No Match Found	No Match
NP_619982	AAM13640.1	GenBank Name Curated (Extracted Product)
YP_233071	AAO89468.1	GenBank Name Curated (Extracted Product)
YP_009408577	No Match Found	No Match
YP_010085646	No Match Found	No Match
YP_009408564	No Match Found	No Match
NP_619984	AAM13642.1	GenBank Name Curated (Extracted Product)
YP_010377166	No Match Found	No Match
NP_957889	AAR98337.1	GenBank Name Curated (Extracted Product)
NP_957894	No Match Found	No Match
NP_619803	AAM13461.1	GenBank Name Curated (Extracted Product)
YP_010085458	AXN74795.1	GenBank Name Curated (Extracted Product)
NP_619960	AAM13618.1	GenBank Name Curated (Extracted Product)
YP_010377148	No Match Found	No Match
YP_233048	AAO89445.1	GenBank Name Curated (Extracted Product)
YP_010085622	No Match Found	No Match
NP_042196	No Match Found	No Match
YP_233088	No Match Found	No Match
NP_619998	AAM13656.1	GenBank Name Curated (Extracted Product)
YP_010377175	No Match Found	No Match
YP_009408400	No Match Found	No Match
YP_009408398	No Match Found	No Match
NP_619817	AAM13475.1	GenBank Name Curated (Extracted Product)
YP_009408583	No Match Found	No Match
YP_232902	No Match Found	No Match
YP_010085472	No Match Found	No Match
YP_232923	AAO89320.1	Product
NP_957784	AAR98232.1	GenBank Name Curated (Extracted Product)
YP_010377029	No Match Found	No Match
NP_619837	AAM13495.1	GenBank Name Curated (Extracted Product)
NP_042070	No Match Found	No Match
YP_010085493	AXN74830.1	Product
NP_597756	No Match Found	No Match
YP_002640224	No Match Found	No Match
YP_002213840	No Match Found	No Match
YP_001974474	No Match Found	No Match
YP_002213851	No Match Found	No Match
YP_010085533	No Match Found	No Match
NP_957814	AAR98262.1	GenBank Name Curated (Extracted Product)
NP_619875	AAM13533.1	GenBank Name Curated (Extracted Product)
NP_073435	CAC21288.1	GenBank Name Curated (Extracted Product)
YP_009408458	No Match Found	No Match
YP_010377067	No Match Found	No Match
NP_042107	No Match Found	No Match
NP_938305	No Match Found	No Match
YP_232960	AAO89357.1	GenBank Name Curated (Extracted Product)
NP_044007	No Match Found	No Match
YP_003199426	ADJ00324.1	GenBank Name Curated (Extracted Product)
YP_009408585	No Match Found	No Match
YP_009408396	No Match Found	No Match
YP_010085662	No Match Found	No Match
NP_619973	AAM13631.1	GenBank Name Curated (Extracted Product)
YP_010085635	AXN74972.1	GenBank Name Curated (Extracted Product)
NP_899214	No Match Found	No Match
YP_138535	AAL16100.1	GenBank Name Curated (Extracted Product)
YP_233031	AAO89428.1	GenBank Name Curated (Extracted Product)
NP_044082	No Match Found	No Match
YP_009408526	No Match Found	No Match
NP_042177	No Match Found	No Match
YP_010085605	AXN74942.1	GenBank Name Curated (Extracted Product)
YP_010377134	No Match Found	No Match
NP_044081	No Match Found	No Match
NP_044084	No Match Found	No Match
NP_957879	AAR98327.1	GenBank Name Curated (Extracted Product)
NP_957880	AAR98328.1	GenBank Name Curated (Extracted Product)
YP_009505782	BAF76113.1	GenBank Name Curated (Extracted Product)
YP_003587916	No Match Found	No Match
YP_009505758	BAF76077.1	GenBank Name Curated (Extracted Product)
YP_009256215	ANH58872.1	Product
YP_009109713	No Match Found	No Match
YP_009505786	BAF76117.1	GenBank Name Curated (Extracted Product)
YP_003587911	No Match Found	No Match
YP_009505753	ABU55878.1	Product
YP_009505778	BAF76109.1	GenBank Name Curated (Extracted Product)
YP_238299	No Match Found	No Match
YP_009505794	BAF76133.1	GenBank Name Curated (Extracted Product)
YP_009505770	BAF76101.1	GenBank Name Curated (Extracted Product)
YP_001109584	No Match Found	No Match
YP_003587905	No Match Found	No Match
YP_009505751	ABU55876.1	Product
YP_003587893	No Match Found	No Match
YP_009505766	BAF76085.1	GenBank Name Curated (Extracted Product)
YP_009505734	ABU55889.1	Product
YP_007518450	AGG91481.1	GenBank Name Curated (Extracted Product)
YP_009505774	BAF76105.1	GenBank Name Curated (Extracted Product)
NP_817122	BAB15944.1	Product
YP_009505738	ABU55893.1	Product
YP_009505790	BAF76125.1	GenBank Name Curated (Extracted Product)
YP_009109710	No Match Found	No Match
YP_238295	No Match Found	No Match
YP_009505762	BAF76081.1	GenBank Name Curated (Extracted Product)
YP_009505741	ABU55896.1	Product
YP_003587826	AAL11042.1	Product
YP_232949	AAO89346.1	GenBank Name Curated (Extracted Product)
NP_938297	No Match Found	No Match
NP_042096	No Match Found	No Match
YP_010377056	No Match Found	No Match
YP_009408446	No Match Found	No Match
NP_957804	AAR98252.1	GenBank Name Curated (Extracted Product)
YP_010085521	No Match Found	No Match
NP_073426	CAC21279.1	GenBank Name Curated (Extracted Product)
NP_043992	No Match Found	No Match
NP_619864	AAM13522.1	GenBank Name Curated (Extracted Product)
NP_619855	AAM13513.1	GenBank Name Curated (Extracted Product)
NP_073418	CAC21271.1	GenBank Name Curated (Extracted Product)
NP_957796	AAR98244.1	GenBank Name Curated (Extracted Product)
NP_938289	No Match Found	No Match
YP_010377047	No Match Found	No Match
NP_043983	No Match Found	No Match
YP_010085512	No Match Found	No Match
NP_042087	No Match Found	No Match
YP_232940	No Match Found	No Match
YP_009408438	No Match Found	No Match
NP_043993	No Match Found	No Match
YP_010085522	No Match Found	No Match
NP_957805	AAR98253.1	GenBank Name Curated (Extracted Product)
NP_042097	No Match Found	No Match
YP_009408447	No Match Found	No Match
NP_619865	AAM13523.1	Product
NP_073427	CAC21280.1	GenBank Name Curated (Extracted Product)
YP_232950	No Match Found	No Match
YP_010377057	No Match Found	No Match
YP_401696	No Match Found	No Match
YP_001129492	No Match Found	No Match
YP_001129379	ABD28877.1	Product
YP_073798	No Match Found	No Match
YP_002608277	No Match Found	No Match
NP_042949	CAA58390.1	Product
NP_050237	No Match Found	No Match
YP_004936052	AEV80440.1	GenBank Name Curated (Extracted Product)
YP_081533	AAR31637.1	GenBank Name Curated (Extracted Product)
YP_009137092	AEQ77048.1	GenBank Name Curated (Extracted Product)
YP_009137169	AEV91356.1	GenBank Name Curated (Extracted Product)
NP_040164	No Match Found	No Match
NP_851877	No Match Found	No Match
YP_443864	No Match Found	No Match
NP_073447	CAC21300.1	GenBank Name Curated (Extracted Product)
NP_619886	AAM13544.1	GenBank Name Curated (Extracted Product)
YP_009408470	No Match Found	No Match
NP_044023	No Match Found	No Match
YP_232972	No Match Found	No Match
NP_938317	AAR07418.1	Product
YP_010377079	No Match Found	No Match
NP_042119	No Match Found	No Match
YP_010085546	AXN74883.1	GenBank Name Curated (Extracted Product)
NP_957826	AAR98274.1	GenBank Name Curated (Extracted Product)
NP_899213	No Match Found	No Match
NP_694852	No Match Found	No Match
YP_138544	AAA46825.1	GenBank Name Curated (Extracted Product)
YP_001129402	ABD28899.1	Product
YP_001129469	No Match Found	No Match
YP_401675	No Match Found	No Match
YP_009924324	No Match Found	No Match
NP_828864	No Match Found	No Match
YP_009944286	No Match Found	No Match
YP_460019	No Match Found	No Match
YP_009944274	No Match Found	No Match
YP_009742613	No Match Found	No Match
YP_009047234	No Match Found	No Match
YP_009047218	No Match Found	No Match
NP_835347	No Match Found	No Match
YP_009725302	No Match Found	No Match
YP_009944297	No Match Found	No Match
YP_009944371	No Match Found	No Match
NP_742133	No Match Found	No Match
YP_009555258	No Match Found	No Match
YP_001129430	AAD46500.1	Product
YP_001974459	No Match Found	No Match
NP_040531	No Match Found	No Match
YP_002213821	No Match Found	No Match
YP_002213788	No Match Found	No Match
